7102 7101
log4j:WARN No appenders could be found for logger (org.apache.hadoop.metrics2.lib.MutableMetricsFactory).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
mac : 9CB6549527D400
20151023T203218 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 245
20151023T203218 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
20151023T203218 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 245
20151023T203219 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 245
20151023T203219 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
20151023T203219 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
20151023T203219 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203219 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 243
20151023T203219 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203219 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203219 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
20151023T203219 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 240
20151023T203219 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203219 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
20151023T203219 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203219 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203219 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 236
20151023T203219 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
20151023T203220 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203220 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 234
20151023T203220 : ../src/server/tsdb_session.cpp CloseSession 189 : 4
20151023T203220 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203220 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203220 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203220 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203220 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 230
20151023T203220 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
